BuildingIndex,Year,Month,Day,Hour,Quarter,P1(Day in a week),P2(Holiday or not),Charge/Discharge[kwh],SOC [%],
1,2018,09,06,23,0,0,0,11.670714,0.000000,
1,2018,09,06,23,1,0,0,3.875561,0.000000,
1,2018,09,06,23,2,0,0,8.771602,0.000000,
1,2018,09,06,23,3,0,0,7.042370,0.000000,
1,2018,09,07,00,0,0,0,0.918094,0.000000,
1,2018,09,07,00,1,0,0,0.918094,0.000000,
1,2018,09,07,00,2,0,0,0.918094,0.000000,
1,2018,09,07,00,3,0,0,0.918094,0.000000,
1,2018,09,07,01,0,0,0,0.918094,0.000000,
1,2018,09,07,01,1,0,0,0.918094,0.000000,
1,2018,09,07,01,2,0,0,0.918094,0.000000,
1,2018,09,07,01,3,0,0,0.918094,0.000000,
1,2018,09,07,02,0,0,0,0.918094,0.000000,
1,2018,09,07,02,1,0,0,0.918094,0.000000,
1,2018,09,07,02,2,0,0,0.918094,0.000000,
1,2018,09,07,02,3,0,0,0.918094,0.000000,
1,2018,09,07,03,0,0,0,0.918094,0.000000,
1,2018,09,07,03,1,0,0,0.918094,0.000000,
1,2018,09,07,03,2,0,0,0.918094,0.000000,
1,2018,09,07,03,3,0,0,0.918094,0.000000,
1,2018,09,07,04,0,0,0,0.918094,0.000000,
1,2018,09,07,04,1,0,0,0.918094,0.000000,
1,2018,09,07,04,2,0,0,0.918094,0.000000,
1,2018,09,07,04,3,0,0,0.918094,0.000000,
1,2018,09,07,05,0,0,0,0.918094,0.000000,
1,2018,09,07,05,1,0,0,0.918094,0.000000,
1,2018,09,07,05,2,0,0,0.918094,0.000000,
1,2018,09,07,05,3,0,0,0.918094,0.000000,
1,2018,09,07,06,0,0,0,0.918094,0.000000,
1,2018,09,07,06,1,0,0,0.918094,0.000000,
1,2018,09,07,06,2,0,0,0.918094,0.000000,
1,2018,09,07,06,3,0,0,0.918094,0.000000,
1,2018,09,07,07,0,0,0,0.293225,0.000000,
1,2018,09,07,07,1,0,0,0.137008,0.000000,
1,2018,09,07,07,2,0,0,0.137008,0.000000,
1,2018,09,07,07,3,0,0,0.137008,0.000000,
1,2018,09,07,08,0,0,0,0.137008,0.000000,
1,2018,09,07,08,1,0,0,0.137008,0.000000,
1,2018,09,07,08,2,0,0,0.137008,0.000000,
1,2018,09,07,08,3,0,0,0.137008,0.000000,
1,2018,09,07,09,0,0,0,0.137008,0.000000,
1,2018,09,07,09,1,0,0,0.137008,0.000000,
1,2018,09,07,09,2,0,0,0.137008,0.000000,
1,2018,09,07,09,3,0,0,0.137008,0.000000,
1,2018,09,07,10,0,0,0,0.137008,0.000000,
1,2018,09,07,10,1,0,0,0.137008,0.000000,
1,2018,09,07,10,2,0,0,0.137008,0.000000,
1,2018,09,07,10,3,0,0,0.137008,0.000000,
1,2018,09,07,11,0,0,0,0.137008,0.000000,
1,2018,09,07,11,1,0,0,0.137008,0.000000,
1,2018,09,07,11,2,0,0,0.137008,0.000000,
1,2018,09,07,11,3,0,0,0.137008,0.000000,
1,2018,09,07,12,0,0,0,0.137008,0.000000,
1,2018,09,07,12,1,0,0,0.137008,0.000000,
1,2018,09,07,12,2,0,0,0.137008,0.000000,
1,2018,09,07,12,3,0,0,0.137008,0.000000,
1,2018,09,07,13,0,0,0,0.137008,0.000000,
1,2018,09,07,13,1,0,0,0.137008,0.000000,
1,2018,09,07,13,2,0,0,0.137008,0.000000,
1,2018,09,07,13,3,0,0,0.137008,0.000000,
1,2018,09,07,14,0,0,0,0.137008,0.000000,
1,2018,09,07,14,1,0,0,0.137008,0.000000,
1,2018,09,07,14,2,0,0,0.137008,0.000000,
1,2018,09,07,14,3,0,0,0.137008,0.000000,
1,2018,09,07,15,0,0,0,0.116602,0.000000,
1,2018,09,07,15,1,0,0,0.060487,0.000000,
1,2018,09,07,15,2,0,0,0.060487,0.000000,
1,2018,09,07,15,3,0,0,0.060487,0.000000,
1,2018,09,07,16,0,0,0,0.060487,0.000000,
1,2018,09,07,16,1,0,0,0.060487,0.000000,
1,2018,09,07,16,2,0,0,0.060487,0.000000,
1,2018,09,07,16,3,0,0,0.060487,0.000000,
1,2018,09,07,17,0,0,0,0.060487,0.000000,
1,2018,09,07,17,1,0,0,0.060487,0.000000,
1,2018,09,07,17,2,0,0,0.060487,0.000000,
1,2018,09,07,17,3,0,0,0.060487,0.000000,
1,2018,09,07,18,0,0,0,0.060487,0.000000,
1,2018,09,07,18,1,0,0,0.060487,0.000000,
1,2018,09,07,18,2,0,0,0.060487,0.000000,
1,2018,09,07,18,3,0,0,0.060487,0.000000,
1,2018,09,07,19,0,0,0,0.060487,0.000000,
1,2018,09,07,19,1,0,0,0.060487,0.000000,
1,2018,09,07,19,2,0,0,0.036926,0.000000,
1,2018,09,07,19,3,0,0,0.036926,0.000000,
1,2018,09,07,20,0,0,0,0.036926,0.000000,
1,2018,09,07,20,1,0,0,0.036926,0.000000,
1,2018,09,07,20,2,0,0,0.036926,0.000000,
1,2018,09,07,20,3,0,0,0.036926,0.000000,
1,2018,09,07,21,0,0,0,0.036926,0.000000,
1,2018,09,07,21,1,0,0,0.036926,0.000000,
1,2018,09,07,21,2,0,0,0.036926,0.000000,
1,2018,09,07,21,3,0,0,0.036926,0.000000,
1,2018,09,07,22,0,0,0,0.036926,0.000000,
1,2018,09,07,22,1,0,0,0.036926,0.000000,
1,2018,09,07,22,2,0,0,0.036926,0.000000,
1,2018,09,07,22,3,0,0,0.036926,0.000000,
1,2018,09,07,23,0,0,0,0.036926,0.000000,
1,2018,09,07,23,1,0,0,0.036926,0.000000,
1,2018,09,07,23,2,0,0,0.036926,0.000000,
1,2018,09,07,23,3,0,0,0.036926,0.000000,
1,2018,09,08,00,0,0,0,0.036926,0.000000,
1,2018,09,08,00,1,0,0,0.036926,0.000000,
1,2018,09,08,00,2,0,0,0.036926,0.000000,
1,2018,09,08,00,3,0,0,0.036926,0.000000,
1,2018,09,08,01,0,0,0,0.036926,0.000000,
1,2018,09,08,01,1,0,0,0.036926,0.000000,
1,2018,09,08,01,2,0,0,0.036926,0.000000,
1,2018,09,08,01,3,0,0,0.036926,0.000000,
1,2018,09,08,02,0,0,0,0.036926,0.000000,
1,2018,09,08,02,1,0,0,0.036926,0.000000,
1,2018,09,08,02,2,0,0,0.036926,0.000000,
1,2018,09,08,02,3,0,0,0.036926,0.000000,
1,2018,09,08,03,0,0,0,0.036926,0.000000,
1,2018,09,08,03,1,0,0,0.036926,0.000000,
1,2018,09,08,03,2,0,0,0.036926,0.000000,
1,2018,09,08,03,3,0,0,0.036926,0.000000,
1,2018,09,08,04,0,0,0,0.036926,0.000000,
1,2018,09,08,04,1,0,0,0.036926,0.000000,
1,2018,09,08,04,2,0,0,0.036926,0.000000,
1,2018,09,08,04,3,0,0,0.036926,0.000000,
1,2018,09,08,05,0,0,0,0.036926,0.000000,
1,2018,09,08,05,1,0,0,0.036926,0.000000,
1,2018,09,08,05,2,0,0,0.036926,0.000000,
1,2018,09,08,05,3,0,0,0.036926,0.000000,
1,2018,09,08,06,0,0,0,0.036926,0.000000,
1,2018,09,08,06,1,0,0,0.036926,0.000000,
1,2018,09,08,06,2,0,0,0.036926,0.000000,
1,2018,09,08,06,3,0,0,0.036926,0.000000,
1,2018,09,08,07,0,0,0,0.036926,0.000000,
1,2018,09,08,07,1,0,0,0.036926,0.000000,
1,2018,09,08,07,2,0,0,0.036926,0.000000,
1,2018,09,08,07,3,0,0,0.036926,0.000000,
1,2018,09,08,08,0,0,0,0.036926,0.000000,
1,2018,09,08,08,1,0,0,0.036926,0.000000,
1,2018,09,08,08,2,0,0,0.036926,0.000000,
1,2018,09,08,08,3,0,0,0.036926,0.000000,
1,2018,09,08,09,0,0,0,0.036926,0.000000,
1,2018,09,08,09,1,0,0,0.036926,0.000000,
1,2018,09,08,09,2,0,0,0.036926,0.000000,
1,2018,09,08,09,3,0,0,0.036926,0.000000,
1,2018,09,08,10,0,0,0,0.036926,0.000000,
1,2018,09,08,10,1,0,0,0.036926,0.000000,
1,2018,09,08,10,2,0,0,0.036926,0.000000,
1,2018,09,08,10,3,0,0,0.036926,0.000000,
1,2018,09,08,11,0,0,0,0.036926,0.000000,
1,2018,09,08,11,1,0,0,0.036926,0.000000,
1,2018,09,08,11,2,0,0,0.036926,0.000000,
1,2018,09,08,11,3,0,0,0.036926,0.000000,
1,2018,09,08,12,0,0,0,0.036926,0.000000,
1,2018,09,08,12,1,0,0,0.036926,0.000000,
1,2018,09,08,12,2,0,0,0.036926,0.000000,
1,2018,09,08,12,3,0,0,0.036926,0.000000,
1,2018,09,08,13,0,0,0,0.036926,0.000000,
1,2018,09,08,13,1,0,0,0.036926,0.000000,
1,2018,09,08,13,2,0,0,0.036926,0.000000,
1,2018,09,08,13,3,0,0,0.036926,0.000000,
1,2018,09,08,14,0,0,0,0.036926,0.000000,
1,2018,09,08,14,1,0,0,0.036926,0.000000,
1,2018,09,08,14,2,0,0,0.036926,0.000000,
1,2018,09,08,14,3,0,0,0.036926,0.000000,
1,2018,09,08,15,0,0,0,0.036926,0.000000,
1,2018,09,08,15,1,0,0,0.036926,0.000000,
1,2018,09,08,15,2,0,0,0.036926,0.000000,
1,2018,09,08,15,3,0,0,0.036926,0.000000,
1,2018,09,08,16,0,0,0,0.036926,0.000000,
1,2018,09,08,16,1,0,0,0.036926,0.000000,
1,2018,09,08,16,2,0,0,0.036926,0.000000,
1,2018,09,08,16,3,0,0,0.036926,0.000000,
1,2018,09,08,17,0,0,0,0.036926,0.000000,
1,2018,09,08,17,1,0,0,0.036926,0.000000,
1,2018,09,08,17,2,0,0,0.036926,0.000000,
1,2018,09,08,17,3,0,0,0.036926,0.000000,
1,2018,09,08,18,0,0,0,0.036926,0.000000,
1,2018,09,08,18,1,0,0,0.036926,0.000000,
1,2018,09,08,18,2,0,0,0.036926,0.000000,
1,2018,09,08,18,3,0,0,0.036926,0.000000,
1,2018,09,08,19,0,0,0,0.036926,0.000000,
1,2018,09,08,19,1,0,0,0.036926,0.000000,
1,2018,09,08,19,2,0,0,0.036926,0.000000,
1,2018,09,08,19,3,0,0,0.036926,0.000000,
1,2018,09,08,20,0,0,0,0.036926,0.000000,
1,2018,09,08,20,1,0,0,0.036926,0.000000,
1,2018,09,08,20,2,0,0,0.036926,0.000000,
1,2018,09,08,20,3,0,0,0.036926,0.000000,
1,2018,09,08,21,0,0,0,0.036926,0.000000,
1,2018,09,08,21,1,0,0,0.036926,0.000000,
1,2018,09,08,21,2,0,0,0.036926,0.000000,
1,2018,09,08,21,3,0,0,0.036926,0.000000,
1,2018,09,08,22,0,0,0,0.036926,0.000000,
1,2018,09,08,22,1,0,0,0.036926,0.000000,
1,2018,09,08,22,2,0,0,0.036926,0.000000,
1,2018,09,08,22,3,0,0,0.036926,0.000000,
1,2018,09,08,23,0,0,0,0.036926,0.000000,
1,2018,09,08,23,1,0,0,0.027079,0.000000,
