year,month,day,hour,quarter,energy,soc
2018,9,6,0,0,0,0
2018,9,6,1,1,0,0
2018,9,6,2,2,0,0
2018,9,6,3,3,0,0
2018,9,6,4,0,0,0
2018,9,6,5,1,0,0
2018,9,6,6,2,0,0
2018,9,6,7,3,0,0
2018,9,6,8,0,0,0
2018,9,6,9,1,0,0
2018,9,6,10,2,0,0
2018,9,6,11,3,0,0
2018,9,6,12,0,0,0
2018,9,6,13,1,0,0
2018,9,6,14,2,0,0
2018,9,6,15,3,0,0
2018,9,6,16,0,0,0
2018,9,6,17,1,0,0
2018,9,6,18,2,0,0
2018,9,6,19,3,0,0
2018,9,6,20,0,0,0
2018,9,6,21,1,0,0
2018,9,6,22,2,0,0
2018,9,6,23,3,7.04237010240416,0
2018,9,6,0,0,0,0
2018,9,6,1,1,0,0
2018,9,6,2,2,0,0
2018,9,6,3,3,0,0
2018,9,6,4,0,0,0
2018,9,6,5,1,0,0
2018,9,6,6,2,0,0
2018,9,6,7,3,0,0
2018,9,6,8,0,0,0
2018,9,6,9,1,0,0
2018,9,6,10,2,0,0
2018,9,6,11,3,0,0
2018,9,6,12,0,0,0
2018,9,6,13,1,0,0
2018,9,6,14,2,0,0
2018,9,6,15,3,0,0
2018,9,6,16,0,0,0
2018,9,6,17,1,0,0
2018,9,6,18,2,0,0
2018,9,6,19,3,0,0
2018,9,6,20,0,0,0
2018,9,6,21,1,0,0
2018,9,6,22,2,0,0
2018,9,6,23,3,7.04237010240416,0
2018,9,6,0,0,0,0
2018,9,6,1,1,0,0
2018,9,6,2,2,0,0
2018,9,6,3,3,0,0
2018,9,6,4,0,0,0
2018,9,6,5,1,0,0
2018,9,6,6,2,0,0
2018,9,6,7,3,0,0
2018,9,6,8,0,0,0
2018,9,6,9,1,0,0
2018,9,6,10,2,0,0
2018,9,6,11,3,0,0
2018,9,6,12,0,0,0
2018,9,6,13,1,0,0
2018,9,6,14,2,0,0
2018,9,6,15,3,0,0
2018,9,6,16,0,0,0
2018,9,6,17,1,0,0
2018,9,6,18,2,0,0
2018,9,6,19,3,0,0
2018,9,6,20,0,0,0
2018,9,6,21,1,0,0
2018,9,6,22,2,0,0
2018,9,6,23,3,7.04237010240416,0
2018,9,6,0,0,0,0
2018,9,6,1,1,0,0
2018,9,6,2,2,0,0
2018,9,6,3,3,0,0
2018,9,6,4,0,0,0
2018,9,6,5,1,0,0
2018,9,6,6,2,0,0
2018,9,6,7,3,0,0
2018,9,6,8,0,0,0
2018,9,6,9,1,0,0
2018,9,6,10,2,0,0
2018,9,6,11,3,0,0
2018,9,6,12,0,0,0
2018,9,6,13,1,0,0
2018,9,6,14,2,0,0
2018,9,6,15,3,0,0
2018,9,6,16,0,0,0
2018,9,6,17,1,0,0
2018,9,6,18,2,0,0
2018,9,6,19,3,0,0
2018,9,6,20,0,0,0
2018,9,6,21,1,0,0
2018,9,6,22,2,0,0
2018,9,6,23,3,7.04237010240416,0
2018,9,7,0,0,0.918094401469582,0
2018,9,7,1,1,0.918094401469582,0
2018,9,7,2,2,0.918094401469582,0
2018,9,7,3,3,0.918094401469582,0
2018,9,7,4,0,0.918094401469582,0
2018,9,7,5,1,0.918094401469582,0
2018,9,7,6,2,0.918094401469582,0
2018,9,7,7,3,0.137007952871451,0
2018,9,7,8,0,0.137007952871451,0
2018,9,7,9,1,0.137007952871451,0
2018,9,7,10,2,0.137007952871451,0
2018,9,7,11,3,0.137007952871451,0
2018,9,7,12,0,0.137007952871451,0
2018,9,7,13,1,0.137007952871451,0
2018,9,7,14,2,0.137007952871451,0
2018,9,7,15,3,0.0604871417721982,0
2018,9,7,16,0,0.0604871417721982,0
2018,9,7,17,1,0.0604871417721982,0
2018,9,7,18,2,0.0604871417721982,0
2018,9,7,19,3,0.0369262865090403,0
2018,9,7,20,0,0.0369262865090403,0
2018,9,7,21,1,0.0369262865090403,0
2018,9,7,22,2,0.0369262865090403,0
2018,9,7,23,3,0.0369262865090403,0
2018,9,7,0,0,0.918094401469582,0
2018,9,7,1,1,0.918094401469582,0
2018,9,7,2,2,0.918094401469582,0
2018,9,7,3,3,0.918094401469582,0
2018,9,7,4,0,0.918094401469582,0
2018,9,7,5,1,0.918094401469582,0
2018,9,7,6,2,0.918094401469582,0
2018,9,7,7,3,0.137007952871451,0
2018,9,7,8,0,0.137007952871451,0
2018,9,7,9,1,0.137007952871451,0
2018,9,7,10,2,0.137007952871451,0
2018,9,7,11,3,0.137007952871451,0
2018,9,7,12,0,0.137007952871451,0
2018,9,7,13,1,0.137007952871451,0
2018,9,7,14,2,0.137007952871451,0
2018,9,7,15,3,0.0604871417721982,0
2018,9,7,16,0,0.0604871417721982,0
2018,9,7,17,1,0.0604871417721982,0
2018,9,7,18,2,0.0604871417721982,0
2018,9,7,19,3,0.0369262865090403,0
2018,9,7,20,0,0.0369262865090403,0
2018,9,7,21,1,0.0369262865090403,0
2018,9,7,22,2,0.0369262865090403,0
2018,9,7,23,3,0.0369262865090403,0
2018,9,7,0,0,0.918094401469582,0
2018,9,7,1,1,0.918094401469582,0
2018,9,7,2,2,0.918094401469582,0
2018,9,7,3,3,0.918094401469582,0
2018,9,7,4,0,0.918094401469582,0
2018,9,7,5,1,0.918094401469582,0
2018,9,7,6,2,0.918094401469582,0
2018,9,7,7,3,0.137007952871451,0
2018,9,7,8,0,0.137007952871451,0
2018,9,7,9,1,0.137007952871451,0
2018,9,7,10,2,0.137007952871451,0
2018,9,7,11,3,0.137007952871451,0
2018,9,7,12,0,0.137007952871451,0
2018,9,7,13,1,0.137007952871451,0
2018,9,7,14,2,0.137007952871451,0
2018,9,7,15,3,0.0604871417721982,0
2018,9,7,16,0,0.0604871417721982,0
2018,9,7,17,1,0.0604871417721982,0
2018,9,7,18,2,0.0604871417721982,0
2018,9,7,19,3,0.0369262865090403,0
2018,9,7,20,0,0.0369262865090403,0
2018,9,7,21,1,0.0369262865090403,0
2018,9,7,22,2,0.0369262865090403,0
2018,9,7,23,3,0.0369262865090403,0
2018,9,7,0,0,0.918094401469582,0
2018,9,7,1,1,0.918094401469582,0
2018,9,7,2,2,0.918094401469582,0
2018,9,7,3,3,0.918094401469582,0
2018,9,7,4,0,0.918094401469582,0
2018,9,7,5,1,0.918094401469582,0
2018,9,7,6,2,0.918094401469582,0
2018,9,7,7,3,0.137007952871451,0
2018,9,7,8,0,0.137007952871451,0
2018,9,7,9,1,0.137007952871451,0
2018,9,7,10,2,0.137007952871451,0
2018,9,7,11,3,0.137007952871451,0
2018,9,7,12,0,0.137007952871451,0
2018,9,7,13,1,0.137007952871451,0
2018,9,7,14,2,0.137007952871451,0
2018,9,7,15,3,0.0604871417721982,0
2018,9,7,16,0,0.0604871417721982,0
2018,9,7,17,1,0.0604871417721982,0
2018,9,7,18,2,0.0604871417721982,0
2018,9,7,19,3,0.0369262865090403,0
2018,9,7,20,0,0.0369262865090403,0
2018,9,7,21,1,0.0369262865090403,0
2018,9,7,22,2,0.0369262865090403,0
2018,9,7,23,3,0.0369262865090403,0
2018,9,8,0,0,0.0369262865090403,0
2018,9,8,1,1,0.0369262865090403,0
2018,9,8,2,2,0.0369262865090403,0
2018,9,8,3,3,0.0369262865090403,0
2018,9,8,4,0,0.0369262865090403,0
2018,9,8,5,1,0.0369262865090403,0
2018,9,8,6,2,0.0369262865090403,0
2018,9,8,7,3,0.0369262865090403,0
2018,9,8,8,0,0.0369262865090403,0
2018,9,8,9,1,0.0369262865090403,0
2018,9,8,10,2,0.0369262865090403,0
2018,9,8,11,3,0.0369262865090403,0
2018,9,8,12,0,0.0369262865090403,0
2018,9,8,13,1,0.0369262865090403,0
2018,9,8,14,2,0.0369262865090403,0
2018,9,8,15,3,0.0369262865090403,0
2018,9,8,16,0,0.0369262865090403,0
2018,9,8,17,1,0.0369262865090403,0
2018,9,8,18,2,0.0369262865090403,0
2018,9,8,19,3,0.0369262865090403,0
2018,9,8,20,0,0.0369262865090403,0
2018,9,8,21,1,0.0369262865090403,0
2018,9,8,22,2,0.0369262865090403,0
2018,9,8,23,3,0,0
2018,9,8,0,0,0.0369262865090403,0
2018,9,8,1,1,0.0369262865090403,0
2018,9,8,2,2,0.0369262865090403,0
2018,9,8,3,3,0.0369262865090403,0
2018,9,8,4,0,0.0369262865090403,0
2018,9,8,5,1,0.0369262865090403,0
2018,9,8,6,2,0.0369262865090403,0
2018,9,8,7,3,0.0369262865090403,0
2018,9,8,8,0,0.0369262865090403,0
2018,9,8,9,1,0.0369262865090403,0
2018,9,8,10,2,0.0369262865090403,0
2018,9,8,11,3,0.0369262865090403,0
2018,9,8,12,0,0.0369262865090403,0
2018,9,8,13,1,0.0369262865090403,0
2018,9,8,14,2,0.0369262865090403,0
2018,9,8,15,3,0.0369262865090403,0
2018,9,8,16,0,0.0369262865090403,0
2018,9,8,17,1,0.0369262865090403,0
2018,9,8,18,2,0.0369262865090403,0
2018,9,8,19,3,0.0369262865090403,0
2018,9,8,20,0,0.0369262865090403,0
2018,9,8,21,1,0.0369262865090403,0
2018,9,8,22,2,0.0369262865090403,0
2018,9,8,23,3,0,0
2018,9,8,0,0,0.0369262865090403,0
2018,9,8,1,1,0.0369262865090403,0
2018,9,8,2,2,0.0369262865090403,0
2018,9,8,3,3,0.0369262865090403,0
2018,9,8,4,0,0.0369262865090403,0
2018,9,8,5,1,0.0369262865090403,0
2018,9,8,6,2,0.0369262865090403,0
2018,9,8,7,3,0.0369262865090403,0
2018,9,8,8,0,0.0369262865090403,0
2018,9,8,9,1,0.0369262865090403,0
2018,9,8,10,2,0.0369262865090403,0
2018,9,8,11,3,0.0369262865090403,0
2018,9,8,12,0,0.0369262865090403,0
2018,9,8,13,1,0.0369262865090403,0
2018,9,8,14,2,0.0369262865090403,0
2018,9,8,15,3,0.0369262865090403,0
2018,9,8,16,0,0.0369262865090403,0
2018,9,8,17,1,0.0369262865090403,0
2018,9,8,18,2,0.0369262865090403,0
2018,9,8,19,3,0.0369262865090403,0
2018,9,8,20,0,0.0369262865090403,0
2018,9,8,21,1,0.0369262865090403,0
2018,9,8,22,2,0.0369262865090403,0
2018,9,8,23,3,0,0
2018,9,8,0,0,0.0369262865090403,0
2018,9,8,1,1,0.0369262865090403,0
2018,9,8,2,2,0.0369262865090403,0
2018,9,8,3,3,0.0369262865090403,0
2018,9,8,4,0,0.0369262865090403,0
2018,9,8,5,1,0.0369262865090403,0
2018,9,8,6,2,0.0369262865090403,0
2018,9,8,7,3,0.0369262865090403,0
2018,9,8,8,0,0.0369262865090403,0
2018,9,8,9,1,0.0369262865090403,0
2018,9,8,10,2,0.0369262865090403,0
2018,9,8,11,3,0.0369262865090403,0
2018,9,8,12,0,0.0369262865090403,0
2018,9,8,13,1,0.0369262865090403,0
2018,9,8,14,2,0.0369262865090403,0
2018,9,8,15,3,0.0369262865090403,0
2018,9,8,16,0,0.0369262865090403,0
2018,9,8,17,1,0.0369262865090403,0
2018,9,8,18,2,0.0369262865090403,0
2018,9,8,19,3,0.0369262865090403,0
2018,9,8,20,0,0.0369262865090403,0
2018,9,8,21,1,0.0369262865090403,0
2018,9,8,22,2,0.0369262865090403,0
2018,9,8,23,3,0,0
